t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 -5.68412e-14 -4.66265e-14 -3.72246e-14 -5.58346e-14 -1.86207e-14 -9.78611e-14 -7.92303e-14 -1.11851e-13 -8.3925e-14 -1.63185e-13 -2.00484e-13 -1.1656e-13 -4.66552e-15 -1.5383e-13 -4.33452e-13 -4.05502e-13 -3.63428e-13 -9.77988e-14 -1.35243e-13 1.43974e-13 0.988256 0.0346124 0.991509 0.989528 0.0748319 0.0453209 0.99062 0.0338115 0.991225 0.990847 0.0452477 0.0567821 0.992457 0.051476 0.990583 0.986209 0.0406759 0.0644275 0.991399 0.0733042 0.983675 0.986516 0.073084 0.0413532 0.989226 0.0449122 0.986181 0.988886 0.0694409 0.0683793 0.983253 0.0786503 0.990862 0.991605 0.0337513 0.0454467 0.00327302 0.00194762 0.00320483 0.00190704 0.00313664 0.00186647 0.00306846 0.00182589 0.00300027 0.00178532 0.00293208 0.00174474 0.0605284 0.0607251 0.0590873 0.059221 0.0576461 0.0577197 0.0563395 0.0563732 0.0548949 0.0549169 0.0534503 0.0534612 0.0521011 0.0520033 0.0506539 0.0504465 0.0492066 0.0488961 0.0477074 0.0473356 0.0462617 0.0459683 0.044816 0.0445967 0.0432766 0.0431422 0.041834 0.0417614 0.0403915 0.0403766 0.0387123 0.0390138 0.0372785 0.0375827 0.0358447 0.0361505
0.05 0.396614 0.397031 -0.0819626 -0.0794853 0.0341207 0.932392 0.930884 1.25243 1.22653 1.2281 1.19189 1.07282 1.07262 0.993149 0.820143 0.815286 0.721269 0.519985 0.519726 0.41627 0.9656 0.0383215 0.973752 0.969471 0.0756989 0.0482262 0.972344 0.037524 0.97395 0.973849 0.0479056 0.0582485 0.977031 0.0543373 0.972427 0.963372 0.0445502 0.0669595 0.973763 0.0740016 0.956222 0.962583 0.0758656 0.0460332 0.968093 0.0501322 0.961574 0.96691 0.0712996 0.0698703 0.955746 0.0780551 0.972669 0.974602 0.037979 0.0486684 0.023778 0.0156088 0.0232826 0.0152836 0.0227873 0.0149584 0.0222919 0.0146332 0.0217965 0.0143081 0.0213011 0.0139829 0.245062 0.246491 0.239227 0.240236 0.233392 0.233999 0.228591 0.228847 0.22273 0.222944 0.216868 0.217042 0.211705 0.211001 0.205825 0.204421 0.199944 0.197883 0.193634 0.191099 0.187767 0.185761 0.181899 0.180395 0.175332 0.174455 0.169488 0.168997 0.163643 0.163514 0.156296 0.158311 0.150507 0.152552 0.144719 0.146785
0.09 1.3609 1.36359 -0.119725 -0.124712 0.277869 3.09885 3.10867 4.10467 4.05229 4.0649 3.96461 3.59535 3.59116 3.33059 2.77058 2.7424 2.43211 1.75981 1.75854 1.4097 0.91339 0.0421154 0.929758 0.924067 0.0766291 0.0510999 0.937431 0.0412778 0.940922 0.944482 0.0506135 0.0598758 0.948749 0.0571716 0.940932 0.927045 0.0484733 0.0696735 0.940925 0.0749404 0.912686 0.921546 0.0788056 0.0507764 0.928001 0.0551007 0.917643 0.924209 0.0734235 0.0716115 0.905425 0.0782306 0.934165 0.937137 0.0421074 0.0517139 0.0503567 0.0356647 0.0493076 0.0349217 0.0482585 0.0341787 0.0472094 0.0334357 0.0461603 0.0326927 0.0451112 0.0319497 0.357515 0.361267 0.349003 0.351849 0.340491 0.342471 0.335886 0.336593 0.327273 0.328116 0.318661 0.319632 0.312063 0.310377 0.303395 0.300197 0.294726 0.290106 0.284766 0.278988 0.276137 0.271498 0.267507 0.263948 0.256904 0.254953 0.24834 0.247157 0.239777 0.239312 0.227686 0.232368 0.219253 0.224007 0.21082 0.215628
0.13 2.42873 2.43612 -0.0534824 -0.0986748 0.615007 5.41045 5.46722 7.18246 7.1626 7.20354 7.06041 6.42091 6.40305 5.92482 4.92974 4.85013 4.29207 3.08633 3.08177 2.45957 0.823417 0.045924 0.846023 0.848163 0.0774176 0.053757 0.893522 0.0450558 0.900511 0.915039 0.053298 0.0615028 0.918713 0.0599543 0.910148 0.894365 0.0523925 0.0724905 0.904903 0.0760195 0.873233 0.878957 0.0818069 0.0555289 0.87991 0.0597178 0.867612 0.869649 0.0756869 0.0735163 0.84191 0.0789048 0.876721 0.877231 0.0460311 0.054515 0.0652669 0.0484853 0.0639072 0.0474751 0.0625475 0.046465 0.0611877 0.0454549 0.059828 0.0444448 0.0584683 0.0434347 0.415008 0.421884 0.405127 0.41114 0.395246 0.40043 0.39809 0.399653 0.387883 0.390478 0.377675 0.381246 0.372364 0.369711 0.362021 0.357066 0.351677 0.344556 0.338538 0.329585 0.328279 0.320817 0.31802 0.311973 0.30338 0.300321 0.293267 0.291069 0.283154 0.281765 0.26635 0.273958 0.256485 0.264086 0.24662 0.254193
0.17 3.26736 3.2798 0.0572904 -0.0700829 0.861661 7.13908 7.27712 9.61562 9.79526 9.89439 9.77953 8.92334 8.87581 8.18508 6.79844 6.64011 5.84872 4.15681 4.1457 3.28449 0.715102 0.0496234 0.73332 0.758396 0.0779898 0.0559845 0.854522 0.0488942 0.867529 0.899007 0.0558991 0.0629684 0.901678 0.0627641 0.895791 0.881141 0.0562614 0.0753142 0.883454 0.0772983 0.85593 0.853311 0.0847389 0.0602492 0.84351 0.0639394 0.830838 0.822346 0.0780111 0.0755962 0.785119 0.0797168 0.815577 0.807838 0.0497662 0.0571839 0.0701482 0.0541285 0.0686868 0.0530008 0.0672253 0.0518731 0.0657639 0.0507455 0.0643025 0.0496178 0.0628411 0.0484901 0.430722 0.439573 0.420467 0.430325 0.410212 0.421017 0.430786 0.433914 0.419741 0.425912 0.408695 0.417746 0.407921 0.404915 0.39659 0.390772 0.385259 0.376795 0.369286 0.358559 0.358095 0.348534 0.346905 0.338457 0.327613 0.32371 0.316692 0.313086 0.305772 0.30245 0.283535 0.292953 0.273034 0.281988 0.262533 0.271032
0.21 3.73817 3.75066 0.171965 -0.0667276 0.939379 7.99266 8.20952 11.0288 11.6706 11.8802 11.9012 10.9226 10.8278 9.95425 8.25678 7.9996 7.00234 4.90085 4.87965 3.8285 0.620114 0.0530789 0.624806 0.678608 0.0784732 0.0577187 0.825221 0.0528532 0.846359 0.896266 0.0583824 0.0641933 0.899842 0.0657131 0.898592 0.88682 0.0600685 0.0781058 0.881297 0.0788672 0.860348 0.848153 0.0875792 0.0649508 0.827216 0.0677881 0.813947 0.792438 0.0804147 0.0779354 0.746092 0.0804043 0.765524 0.745909 0.0534164 0.0599266 0.0695839 0.0555296 0.0681343 0.0543728 0.0666846 0.0532159 0.0652349 0.052059 0.0637853 0.0509022 0.0623356 0.0497453 0.419673 0.427515 0.409681 0.422669 0.399688 0.417563 0.445875 0.451495 0.434442 0.446123 0.423009 0.440425 0.430037 0.427539 0.418091 0.412634 0.406146 0.397901 0.388043 0.377162 0.376285 0.365567 0.364526 0.353983 0.340016 0.335497 0.328682 0.323187 0.317348 0.310954 0.288664 0.298026 0.277973 0.285907 0.267282 0.273871
0.25 3.86301 3.86416 0.267399 -0.084274 0.865062 8.05404 8.29654 11.455 12.8035 13.1964 13.4617 12.4625 12.3102 11.2944 9.37527 9.005 7.82877 5.38964 5.35235 4.15158 0.551598 0.0562231 0.541306 0.618009 0.0790188 0.0590782 0.801512 0.0569645 0.831323 0.89914 0.060732 0.0651738 0.906483 0.068876 0.910471 0.902551 0.0638229 0.0808677 0.892246 0.0807658 0.877066 0.856987 0.0903966 0.0696742 0.827636 0.0713226 0.81277 0.77862 0.0829667 0.0806138 0.7242 0.0809082 0.731023 0.699227 0.0570764 0.0628873 0.0666788 0.0548871 0.0652897 0.0537436 0.0639006 0.0526001 0.0625114 0.0514567 0.0611223 0.0503132 0.0597331 0.0491697 0.396051 0.400081 0.386621 0.401204 0.377191 0.401809 0.450846 0.459788 0.439286 0.457951 0.427726 0.45559 0.445326 0.444081 0.432955 0.428941 0.420585 0.413962 0.401521 0.391559 0.389353 0.378177 0.377186 0.36489 0.347426 0.342316 0.335845 0.327991 0.324264 0.313866 0.288311 0.295964 0.277633 0.282487 0.266954 0.269203
0.29 3.75064 3.72433 0.333234 -0.108151 0.702815 7.60915 7.79035 11.1624 13.333 13.9866 14.5759 13.6449 13.4388 12.3236 10.2672 9.77305 8.44172 5.72739 5.6625 4.33876 0.50611 0.0590597 0.483409 0.573692 0.0796928 0.0602359 0.778284 0.0612169 0.815508 0.901449 0.0629445 0.065928 0.915007 0.0722814 0.924313 0.920685 0.0675295 0.0836042 0.908656 0.0829926 0.897776 0.872558 0.093268 0.0744452 0.838303 0.0746112 0.82102 0.775853 0.0857289 0.0836719 0.714755 0.0812922 0.709805 0.667178 0.0608009 0.0661219 0.0634243 0.0537496 0.0621029 0.0526298 0.0607816 0.05151 0.0594602 0.0503902 0.0581389 0.0492704 0.0568176 0.0481506 0.369421 0.368122 0.360626 0.37522 0.35183 0.381544 0.449588 0.46227 0.43806 0.464538 0.426532 0.466063 0.456846 0.457382 0.444156 0.442387 0.431466 0.427523 0.41285 0.404284 0.400339 0.389141 0.387828 0.374178 0.353433 0.347609 0.341651 0.331089 0.32987 0.314909 0.286271 0.291158 0.275669 0.276178 0.265066 0.261521
0.33 3.52146 3.44889 0.370328 -0.124639 0.517983 6.95877 6.98356 10.4607 13.4145 14.3923 15.3491 14.5542 14.3152 13.1407 11.0202 10.3944 8.9299 5.99748 5.88687 4.4562 0.476319 0.0616219 0.444585 0.540265 0.0805001 0.0613316 0.753228 0.0655654 0.794823 0.900364 0.0650327 0.0664703 0.921876 0.075927 0.936548 0.937172 0.0711809 0.0863116 0.925463 0.0855297 0.917771 0.890082 0.0962405 0.0792624 0.854057 0.0777209 0.834006 0.779787 0.0887364 0.087113 0.713571 0.0816445 0.698155 0.646335 0.0646187 0.0696399 0.0612796 0.0533827 0.0600029 0.0522706 0.0587263 0.0511584 0.0574496 0.0500463 0.0561729 0.0489341 0.0548963 0.047822 0.344651 0.337708 0.336445 0.349779 0.328239 0.360868 0.443993 0.460214 0.432609 0.467083 0.421225 0.472969 0.465775 0.468444 0.452837 0.453856 0.439899 0.439359 0.423085 0.41602 0.410264 0.399349 0.397443 0.382931 0.359527 0.352832 0.347543 0.334106 0.335559 0.31586 0.284425 0.286019 0.273891 0.269491 0.263356 0.253419
0.37 3.2657 3.1275 0.387286 -0.124098 0.355974 6.31481 6.10018 9.58933 13.1772 14.516 15.8548 15.2435 15.0095 13.8098 11.6833 10.9226 9.3457 6.25045 6.07069 4.54288 0.456365 0.0639498 0.418723 0.513868 0.0814183 0.0624536 0.72678 0.0699363 0.768113 0.895042 0.0670328 0.0668219 0.925797 0.0797961 0.946064 0.950593 0.0747596 0.0889805 0.940221 0.0883549 0.935069 0.907034 0.099331 0.0841056 0.871605 0.0807145 0.848882 0.787559 0.0919994 0.0909156 0.717869 0.0820352 0.693011 0.633409 0.0685488 0.0734382 0.0616592 0.0551324 0.0603747 0.0539838 0.0590901 0.0528352 0.0578055 0.0516867 0.056521 0.0505381 0.0552364 0.0493895 0.323559 0.311452 0.315855 0.327071 0.308152 0.341565 0.435222 0.454042 0.424062 0.466036 0.412903 0.476786 0.472531 0.477591 0.459405 0.463573 0.446279 0.449598 0.432376 0.426748 0.419274 0.4089 0.406171 0.391359 0.366101 0.358422 0.353898 0.337612 0.341695 0.317414 0.283563 0.281674 0.27306 0.263629 0.262558 0.24617
