t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 -7.57478e-14 -8.8861e-14 -9.7703e-14 -1.02343e-13 -1.81615e-13 -8.38422e-14 -7.45057e-14 -6.5271e-14 -1.9115e-13 -1.95806e-13 -1.07237e-13 1.49185e-13 9.79063e-14 9.3253e-14 -1.07218e-13 6.05525e-14 -2.18922e-13 -3.30417e-13 -3.81837e-13 -5.59114e-14 0.991063 0.0401521 0.984934 0.991935 0.0361402 0.0701155 0.988461 0.0328466 0.984972 0.988081 0.0543907 0.0585864 0.990559 0.0384905 0.989821 0.991582 0.049716 0.0744245 0.990719 0.0339392 0.993036 0.992207 0.0690632 0.0327927 0.993219 0.0468975 0.985643 0.99217 0.0518355 0.0610273 0.9885 0.0654725 0.991536 0.98346 0.0536068 0.0477951 0.00316008 0.00167118 0.00309424 0.00163636 0.00302841 0.00160155 0.00296257 0.00156673 0.00289674 0.00153192 0.0028309 0.0014971 0.0607 0.0603249 0.0592548 0.0590968 0.0578095 0.0578585 0.0562167 0.056017 0.0547753 0.0546667 0.0533338 0.0533118 0.0520022 0.0519629 0.0505577 0.0505637 0.0491132 0.049162 0.0476766 0.0477863 0.0462319 0.0463198 0.0447871 0.0448544 0.0434511 0.0431195 0.0420028 0.04182 0.0405544 0.040511 0.0389195 0.0390395 0.037478 0.0374406 0.0360365 0.0358535
0.05 0.395305 0.395959 -0.0894828 -0.0746851 0.0350426 0.937559 0.922347 1.24922 1.2196 1.21993 1.18087 1.07133 1.07071 0.998452 0.822007 0.829063 0.73 0.528214 0.519222 0.418149 0.972483 0.0431912 0.957829 0.973387 0.0394621 0.0708653 0.968364 0.0366998 0.959756 0.966964 0.057101 0.0603663 0.97208 0.0420585 0.970871 0.975159 0.0529864 0.07556 0.973442 0.0375403 0.978835 0.976588 0.0699364 0.0361149 0.978512 0.0502922 0.961751 0.975199 0.054569 0.0633965 0.968203 0.0672173 0.973979 0.955178 0.0571444 0.0514258 0.0183686 0.0107504 0.0179859 0.0105264 0.0176032 0.0103024 0.0172205 0.0100785 0.0168379 0.00985451 0.0164552 0.00963054 0.246285 0.243657 0.240421 0.239248 0.234557 0.234771 0.22786 0.226426 0.222018 0.221209 0.216175 0.21596 0.210963 0.210744 0.205103 0.205209 0.199243 0.199655 0.193534 0.194298 0.187669 0.188266 0.181804 0.182243 0.176634 0.174417 0.170747 0.169486 0.164859 0.164494 0.157743 0.158472 0.151901 0.151546 0.146058 0.144702
0.09 1.34265 1.34425 -0.181097 -0.12068 0.251993 3.10735 3.04401 4.07886 4.02543 4.02442 3.91428 3.5839 3.58626 3.36034 2.77935 2.81257 2.47902 1.80168 1.75922 1.41828 0.926913 0.0461995 0.898455 0.92801 0.0429317 0.0718196 0.931869 0.0405478 0.916992 0.932385 0.0599082 0.0622969 0.939792 0.0456861 0.938581 0.945724 0.0562562 0.0767986 0.942396 0.0412234 0.951637 0.946617 0.0709955 0.0395006 0.947967 0.0535772 0.920426 0.939745 0.0575086 0.0658854 0.928078 0.0690407 0.935933 0.901587 0.0605955 0.0551643 0.0265874 0.016724 0.0260335 0.0163756 0.0254796 0.0160271 0.0249257 0.0156787 0.0243718 0.0153303 0.0238179 0.0149819 0.360663 0.353996 0.352076 0.348984 0.343489 0.343805 0.334411 0.330955 0.325836 0.324018 0.317261 0.316999 0.310203 0.309828 0.301586 0.301977 0.29297 0.294083 0.28483 0.286644 0.276199 0.277548 0.267568 0.268478 0.260261 0.255191 0.251586 0.248551 0.24291 0.241782 0.231224 0.232694 0.22266 0.221502 0.214096 0.210508
0.13 2.38031 2.38066 -0.225144 -0.0818965 0.55006 5.43627 5.28094 7.09424 7.10458 7.09955 6.9387 6.38206 6.39756 6.00521 4.94905 5.03175 4.41797 3.19482 3.08952 2.48059 0.841721 0.0490568 0.801126 0.848448 0.0464885 0.0727878 0.887734 0.0443595 0.870786 0.900066 0.0627394 0.0642226 0.907576 0.0493264 0.907312 0.914894 0.0594735 0.0780784 0.908726 0.0449271 0.91994 0.910803 0.0721664 0.0429197 0.906887 0.0566861 0.874661 0.89079 0.060574 0.0684603 0.87233 0.0707782 0.878189 0.830068 0.0639063 0.0589946 0.0299808 0.0201346 0.0293562 0.0197152 0.0287316 0.0192957 0.028107 0.0188762 0.0274824 0.0184567 0.0268578 0.0180373 0.420674 0.408503 0.410658 0.405242 0.400642 0.401666 0.395983 0.390443 0.38583 0.383745 0.375676 0.376874 0.369231 0.368865 0.358975 0.359786 0.348719 0.35064 0.339092 0.342057 0.328816 0.330812 0.318541 0.319621 0.309344 0.30131 0.299032 0.293804 0.288721 0.286124 0.272485 0.274391 0.262393 0.259683 0.252301 0.245324
0.17 3.19347 3.18882 -0.2447 0.00918619 0.800609 7.21536 6.92935 9.41815 9.70395 9.70306 9.56866 8.83909 8.8753 8.33423 6.82446 6.96806 6.08219 4.35329 4.16749 3.32017 0.729977 0.0517231 0.688672 0.753327 0.0499417 0.0734663 0.849815 0.0481955 0.837 0.884054 0.065491 0.065962 0.891001 0.0529659 0.892442 0.897883 0.0626327 0.0794396 0.888236 0.0485958 0.898702 0.884834 0.0734709 0.0463942 0.871125 0.0596295 0.842408 0.845288 0.0636299 0.0711201 0.817486 0.0723181 0.816307 0.760996 0.0670917 0.0628758 0.0307208 0.021906 0.0300808 0.0214496 0.0294408 0.0209933 0.0288008 0.0205369 0.0281608 0.0200805 0.0275207 0.0196241 0.437961 0.421127 0.427533 0.421396 0.417105 0.421162 0.428397 0.421901 0.417413 0.417147 0.406428 0.412074 0.403884 0.403789 0.392665 0.393888 0.381446 0.383912 0.370415 0.374157 0.359191 0.361262 0.347966 0.348464 0.335716 0.325873 0.324526 0.317254 0.313335 0.308481 0.291909 0.293367 0.281097 0.276043 0.270286 0.259216
0.21 3.64554 3.63286 -0.246989 0.105449 0.927423 8.12543 7.70796 10.6963 11.5589 11.5887 11.6014 10.7848 10.8371 10.1713 8.27567 8.46739 7.34272 5.18052 4.91929 3.87449 0.625373 0.0542734 0.592266 0.670759 0.0530717 0.0736383 0.8222 0.0521397 0.816741 0.882208 0.0680947 0.0674225 0.890833 0.0566348 0.894441 0.897642 0.0657697 0.0809566 0.885264 0.0522202 0.893691 0.875453 0.0749808 0.0499753 0.851038 0.0624707 0.829381 0.81501 0.0666043 0.0739049 0.776662 0.0736537 0.765929 0.707911 0.0702236 0.0667858 0.0300765 0.0226413 0.0294499 0.0221696 0.0288233 0.0216979 0.0281967 0.0212262 0.0275701 0.0207545 0.0269435 0.0202828 0.426266 0.407591 0.416117 0.412254 0.405967 0.416217 0.4436 0.437755 0.432226 0.43615 0.420851 0.434039 0.425655 0.426102 0.413831 0.415469 0.402007 0.404766 0.389509 0.393476 0.377706 0.379185 0.365903 0.365042 0.349143 0.339052 0.337505 0.32861 0.325867 0.318109 0.298402 0.298358 0.28735 0.279337 0.276298 0.260929
0.25 3.75476 3.72994 -0.227379 0.167805 0.912302 8.21115 7.69647 11.0023 12.6946 12.7991 13.0803 12.274 12.3293 11.5623 9.36818 9.57442 8.25207 5.7257 5.41117 4.20067 0.547084 0.0567755 0.522848 0.610633 0.0558081 0.0733594 0.800125 0.0562267 0.802137 0.885509 0.0705324 0.0686065 0.899172 0.0603801 0.905338 0.908007 0.0689181 0.0826551 0.89451 0.0558311 0.90092 0.879362 0.0767494 0.053701 0.846325 0.06527 0.831059 0.800473 0.0695226 0.0768685 0.752061 0.0748457 0.731821 0.671943 0.0733756 0.0707455 0.0287768 0.0227344 0.0281773 0.0222608 0.0275778 0.0217872 0.0269782 0.0213135 0.0263787 0.0208399 0.0257792 0.0203663 0.4001 0.382137 0.390574 0.391198 0.381048 0.399373 0.448978 0.445046 0.437466 0.447309 0.425953 0.448852 0.441031 0.442273 0.42878 0.431012 0.416529 0.419693 0.402963 0.406732 0.390752 0.391209 0.378541 0.375886 0.356494 0.347267 0.344611 0.334421 0.332727 0.321663 0.298599 0.296262 0.28754 0.276199 0.276481 0.256836
0.29 3.62811 3.58322 -0.185002 0.182012 0.784471 7.74238 7.16751 10.6374 13.2507 13.4835 14.1194 13.4151 13.4629 12.6182 10.2181 10.3961 8.9163 6.08474 5.74221 4.38623 0.494421 0.0592324 0.476047 0.568296 0.0582132 0.0728465 0.777954 0.0604412 0.786023 0.887552 0.072808 0.0695406 0.909048 0.0642398 0.918203 0.92222 0.0720865 0.0845102 0.909192 0.0594704 0.914123 0.890587 0.0787934 0.0575819 0.852129 0.0680647 0.841019 0.797192 0.0724551 0.0800522 0.740121 0.0759667 0.711544 0.648986 0.0765971 0.0747967 0.0272307 0.0224424 0.0266634 0.0219748 0.0260961 0.0215073 0.0255288 0.0210397 0.0249615 0.0205722 0.0243942 0.0201046 0.370087 0.354062 0.361275 0.366909 0.352463 0.378717 0.448238 0.446856 0.436745 0.453447 0.425252 0.459088 0.452876 0.455151 0.440296 0.443481 0.427716 0.431755 0.413983 0.417345 0.401438 0.400759 0.388893 0.38442 0.361706 0.353793 0.349649 0.338291 0.337592 0.323045 0.29657 0.291539 0.285585 0.270764 0.274601 0.250756
0.33 3.38509 3.3081 -0.126121 0.155603 0.593834 7.02451 6.40639 9.92315 13.3757 13.7884 14.8206 14.2952 14.3362 13.439 10.9207 11.0292 9.42755 6.34371 5.99049 4.50184 0.460299 0.0616105 0.444548 0.53672 0.0603844 0.0723154 0.752999 0.0647408 0.764946 0.885724 0.0749316 0.0702382 0.916917 0.0682342 0.929551 0.93615 0.0752622 0.0864774 0.92466 0.0631732 0.92873 0.904539 0.0811024 0.0616069 0.863784 0.0708755 0.854599 0.800718 0.0754715 0.0834776 0.736708 0.0770772 0.701142 0.634878 0.0799154 0.0789788 0.0256589 0.0219319 0.0251244 0.021475 0.0245898 0.0210181 0.0240553 0.0205612 0.0235207 0.0201042 0.0229861 0.0196473 0.341984 0.328009 0.333841 0.343668 0.325699 0.358183 0.443073 0.444276 0.431712 0.4556 0.420351 0.465727 0.462219 0.465769 0.449379 0.453964 0.43654 0.442095 0.42377 0.426687 0.410928 0.409244 0.398087 0.392084 0.366622 0.359971 0.354401 0.341853 0.342181 0.324158 0.294417 0.286611 0.283512 0.265216 0.272608 0.244651
0.37 3.11432 2.99038 -0.0601043 0.105219 0.386474 6.28271 5.61383 9.09112 13.1882 13.8207 15.2562 14.968 15.0177 14.0931 11.5333 11.5386 9.84557 6.56088 6.20156 4.59003 0.438327 0.0638699 0.422713 0.511156 0.0624061 0.0719196 0.725492 0.0690662 0.738563 0.879487 0.0769227 0.0707104 0.921572 0.0723689 0.938258 0.948018 0.0784207 0.0885132 0.93855 0.0669636 0.942304 0.918573 0.0836527 0.0657532 0.878052 0.0737158 0.869123 0.807995 0.0786235 0.087148 0.738827 0.078221 0.697389 0.62669 0.0833461 0.0833213 0.0241729 0.0213101 0.0236693 0.0208662 0.0231657 0.0204222 0.0226621 0.0199783 0.0221585 0.0195343 0.0216549 0.0190903 0.318125 0.305689 0.310551 0.323055 0.302976 0.339219 0.434454 0.437766 0.423314 0.454214 0.412174 0.469206 0.469393 0.474476 0.456355 0.462798 0.443316 0.451034 0.432596 0.43514 0.419487 0.417072 0.406378 0.399309 0.371887 0.366181 0.359491 0.345681 0.347095 0.325753 0.293058 0.282588 0.282204 0.260542 0.27135 0.239386
