t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 -7.57478e-14 -8.8861e-14 -9.7703e-14 -1.02343e-13 -1.81615e-13 -8.38422e-14 -7.45057e-14 -6.5271e-14 -1.9115e-13 -1.95806e-13 -1.07237e-13 1.49185e-13 9.79063e-14 9.3253e-14 -1.07218e-13 6.05525e-14 -2.18922e-13 -3.30417e-13 -3.81837e-13 -5.59114e-14 0.982491 0.0502662 0.9883 0.98798 0.0316771 0.0526215 0.986963 0.0392842 0.992035 0.992491 0.0506195 0.0378846 0.986142 0.0346666 0.990816 0.992935 0.0583454 0.0430736 0.982955 0.0721912 0.992843 0.992982 0.0582549 0.0630233 0.988672 0.0606851 0.985621 0.985435 0.0362394 0.0522839 0.988241 0.0551486 0.992231 0.99022 0.0701626 0.0644268 0.00200075 0.00303345 0.00195906 0.00297026 0.00191738 0.00290706 0.0018757 0.00284386 0.00183402 0.00278067 0.00179234 0.00271747 0.0601743 0.0605313 0.0587416 0.0590799 0.0573089 0.0576289 0.0561312 0.0564189 0.0546919 0.0549853 0.0532527 0.053551 0.0517705 0.0520146 0.0503325 0.0506242 0.0488944 0.0492308 0.047301 0.0477776 0.0458677 0.0463329 0.0444343 0.044888 0.0432516 0.0431192 0.0418099 0.0416776 0.0403681 0.0402363 0.0389097 0.0390662 0.0374686 0.0375813 0.0360275 0.0360993
0.05 0.392183 0.392528 -0.0749439 -0.0879809 0.0335867 0.91348 0.927865 1.23785 1.22299 1.22196 1.18545 1.07136 1.0661 0.992497 0.812818 0.824625 0.726881 0.524885 0.512903 0.410619 0.95138 0.0523306 0.965361 0.965093 0.0348448 0.0547755 0.963035 0.0423732 0.975942 0.976527 0.0528458 0.0410356 0.963169 0.0387686 0.973808 0.977303 0.0595594 0.0460097 0.95767 0.0736613 0.978549 0.977501 0.061525 0.0655165 0.968013 0.0626677 0.96094 0.960837 0.0403177 0.0555565 0.965561 0.0592065 0.975665 0.971253 0.0725441 0.0675372 0.0125939 0.0178524 0.0123316 0.0174805 0.0120692 0.0171085 0.0118068 0.0167366 0.0115444 0.0163647 0.0112821 0.0159928 0.242531 0.245042 0.236756 0.239164 0.230982 0.233289 0.227063 0.229177 0.221241 0.223361 0.215419 0.21754 0.209499 0.211168 0.203679 0.205608 0.19786 0.20003 0.19116 0.194251 0.185367 0.188326 0.179574 0.182403 0.175265 0.174348 0.169423 0.168523 0.163581 0.1627 0.157517 0.158663 0.151683 0.152534 0.145849 0.146425
0.09 1.32539 1.3272 -0.118422 -0.178814 0.23252 2.99621 3.06044 4.03893 4.03366 4.03226 3.93045 3.58773 3.56138 3.33045 2.73809 2.79211 2.46448 1.78427 1.72908 1.38236 0.885719 0.0545776 0.911806 0.914282 0.0379453 0.0567662 0.92004 0.0456086 0.944252 0.946991 0.0550059 0.0440835 0.926952 0.0429289 0.944315 0.94767 0.0609055 0.0489114 0.918777 0.075495 0.951247 0.946509 0.0645395 0.0678668 0.929693 0.0647356 0.917845 0.916688 0.0444841 0.0588776 0.920237 0.0632535 0.939106 0.930732 0.0748673 0.0705567 0.0192757 0.0260498 0.0188741 0.0255071 0.0184725 0.0249644 0.0180709 0.0244217 0.0176694 0.023879 0.0172678 0.0233363 0.351038 0.357296 0.34268 0.348875 0.334322 0.340449 0.332031 0.337378 0.323517 0.328927 0.315004 0.320466 0.307131 0.310968 0.2986 0.302847 0.290068 0.294696 0.279755 0.286557 0.271278 0.277586 0.2628 0.268633 0.257008 0.254861 0.248441 0.246311 0.239874 0.237765 0.230281 0.233177 0.221752 0.223926 0.213223 0.214723
0.13 2.33065 2.33512 -0.0704141 -0.228115 0.470977 5.15052 5.30968 7.01834 7.10377 7.11569 6.96947 6.40102 6.33037 5.92794 4.85609 4.98193 4.38234 3.15018 3.01598 2.39379 0.784764 0.0569151 0.817299 0.831696 0.0408442 0.0583871 0.869507 0.0489756 0.903625 0.915352 0.0570101 0.0469071 0.894529 0.0470791 0.914755 0.915466 0.0623314 0.0517654 0.883483 0.0775091 0.919213 0.908346 0.0673025 0.0701172 0.88373 0.0668024 0.869991 0.863885 0.0486622 0.062202 0.858557 0.0671848 0.882299 0.867933 0.0770141 0.0733961 0.0228543 0.0295871 0.0223782 0.0289708 0.021902 0.0283544 0.0214259 0.027738 0.0209498 0.0271216 0.0204736 0.0265052 0.403275 0.413972 0.393673 0.405138 0.384071 0.396253 0.391261 0.400827 0.381228 0.391445 0.371196 0.382017 0.364821 0.370876 0.354687 0.361068 0.344553 0.351232 0.331578 0.341904 0.32153 0.33066 0.311483 0.319471 0.303919 0.300497 0.293789 0.290149 0.283658 0.279825 0.270263 0.275231 0.260254 0.263843 0.250244 0.252546
0.17 3.09797 3.10218 0.0403404 -0.264625 0.613381 6.69152 6.97045 9.31266 9.66161 9.72905 9.61154 8.88595 8.74879 8.19309 6.67849 6.88044 6.01902 4.27471 4.04113 3.1733 0.67646 0.0591427 0.700055 0.737008 0.0435212 0.0595358 0.827045 0.0524622 0.867864 0.896104 0.058862 0.0494228 0.880363 0.051154 0.899638 0.89718 0.0638925 0.0546508 0.867391 0.0794951 0.89719 0.879876 0.0699869 0.0724634 0.84806 0.0688619 0.836239 0.820664 0.0527764 0.0655196 0.800438 0.0707994 0.819607 0.797104 0.0790315 0.0761298 0.0245091 0.0305149 0.0239985 0.0298791 0.0234879 0.0292434 0.0229773 0.0286077 0.0224667 0.027972 0.021956 0.0273362 0.414704 0.427576 0.40483 0.421017 0.394956 0.414281 0.421124 0.434969 0.410326 0.426518 0.399528 0.417924 0.398907 0.406445 0.387826 0.395354 0.376745 0.384251 0.361733 0.373857 0.350772 0.360731 0.33981 0.347718 0.328633 0.324481 0.317679 0.31257 0.306724 0.300734 0.28826 0.294421 0.277583 0.281456 0.266907 0.26865
0.21 3.51189 3.50433 0.169464 -0.299976 0.612284 7.39531 7.75496 10.5786 11.4319 11.6333 11.6562 10.8623 10.6492 9.9651 8.0967 8.3405 7.25015 5.07218 4.74718 3.67859 0.589194 0.0610747 0.594122 0.654874 0.0460841 0.0603147 0.796031 0.0560743 0.842064 0.890201 0.0606067 0.0516042 0.882549 0.0551563 0.900352 0.896476 0.0656537 0.0576386 0.870667 0.0813871 0.891117 0.868728 0.0727791 0.0750742 0.83091 0.0709559 0.822413 0.795127 0.0568062 0.0688799 0.759418 0.0739268 0.766858 0.734978 0.0810904 0.0789546 0.0249948 0.0300461 0.024474 0.0294201 0.0239533 0.0287942 0.0234326 0.0281682 0.0229119 0.0275422 0.0223912 0.0269163 0.402036 0.412929 0.392464 0.410911 0.382891 0.408513 0.433926 0.451675 0.4228 0.445795 0.411673 0.439616 0.420761 0.428997 0.409073 0.416899 0.397385 0.404811 0.381038 0.392915 0.369491 0.378162 0.357945 0.363586 0.341298 0.337127 0.329922 0.323481 0.318545 0.310002 0.293658 0.299294 0.282782 0.284991 0.271906 0.270936
0.25 3.60869 3.5707 0.277197 -0.328409 0.498597 7.39484 7.73261 10.8842 12.4433 12.8773 13.1535 12.3717 12.0917 11.3019 9.18707 9.41008 8.13006 5.59859 5.21068 3.97886 0.529168 0.0626716 0.515447 0.593404 0.0486291 0.060912 0.77125 0.0598122 0.821653 0.89026 0.0622735 0.0534618 0.892045 0.0591424 0.909954 0.907004 0.0676242 0.0607355 0.885259 0.0832522 0.897387 0.8717 0.0757728 0.0780036 0.829757 0.0731184 0.823696 0.784868 0.0607876 0.0723588 0.736209 0.0765379 0.729885 0.688544 0.0833344 0.0820316 0.024792 0.0288885 0.0242755 0.0282867 0.023759 0.0276848 0.0232425 0.027083 0.022726 0.0264811 0.0222095 0.0258793 0.379163 0.38472 0.370135 0.388157 0.361108 0.390979 0.437151 0.458379 0.425942 0.456236 0.414733 0.453588 0.436479 0.445082 0.424355 0.432299 0.41223 0.41954 0.395585 0.40583 0.383597 0.389683 0.37161 0.373777 0.34867 0.344916 0.337048 0.329296 0.325425 0.31396 0.293267 0.296745 0.282405 0.281157 0.271544 0.265923
0.29 3.49726 3.40764 0.343182 -0.341072 0.334028 6.97916 7.16738 10.5118 12.8504 13.6066 14.2206 13.5139 13.1942 12.3202 10.0639 10.1964 8.76442 5.95083 5.53109 4.16163 0.49013 0.0639963 0.461842 0.548999 0.0511889 0.0614802 0.747616 0.0636479 0.800385 0.889949 0.0638798 0.0550184 0.901932 0.0631748 0.921929 0.921653 0.0697686 0.0639036 0.903629 0.0851948 0.909999 0.882637 0.0789802 0.0812243 0.838866 0.0753611 0.833417 0.784536 0.0647806 0.0760232 0.726073 0.0787162 0.707069 0.656853 0.0858265 0.0854313 0.0242047 0.0274467 0.0237005 0.0268749 0.0231962 0.0263031 0.0226919 0.0257313 0.0221877 0.0251595 0.0216834 0.0245876 0.354546 0.353213 0.346104 0.361761 0.337663 0.369482 0.434618 0.45875 0.423474 0.461139 0.41233 0.462783 0.448617 0.457716 0.436155 0.444614 0.423694 0.431535 0.408029 0.416099 0.395664 0.398806 0.3833 0.381806 0.354411 0.351119 0.342597 0.333395 0.330783 0.316086 0.291084 0.291361 0.280303 0.274474 0.269522 0.258056
0.33 3.28808 3.12644 0.366132 -0.333911 0.169873 6.41814 6.34153 9.76664 12.8221 13.9589 14.958 14.3727 14.0575 13.1214 10.8126 10.7964 9.24506 6.21325 5.78084 4.2904 0.464572 0.0651331 0.426358 0.516115 0.0537569 0.06211 0.723215 0.0675205 0.77452 0.886177 0.0654533 0.0563022 0.909007 0.0672969 0.932792 0.936061 0.0720337 0.0670929 0.921317 0.0872996 0.924454 0.896774 0.082373 0.0846753 0.853404 0.077683 0.846806 0.789807 0.0688433 0.0799171 0.724388 0.0805839 0.694778 0.636505 0.0885759 0.0891625 0.0234226 0.0259446 0.0229347 0.0254041 0.0224467 0.0248636 0.0219587 0.024323 0.0214707 0.0237825 0.0209828 0.023242 0.332142 0.323866 0.324234 0.33646 0.316325 0.348062 0.42824 0.454274 0.417259 0.461822 0.406279 0.46836 0.458054 0.468063 0.445331 0.454985 0.432607 0.441911 0.419195 0.425165 0.406492 0.406989 0.393789 0.389143 0.360129 0.357054 0.348125 0.337248 0.33612 0.317987 0.289071 0.285712 0.278365 0.267507 0.267658 0.249888
0.37 3.05848 2.80759 0.355475 -0.30871 0.0333955 5.88387 5.46192 8.87756 12.4987 14.0318 15.4328 15.0026 14.7496 13.7742 11.4789 11.2764 9.63263 6.44221 5.99849 4.39896 0.447096 0.0661563 0.403088 0.490767 0.056309 0.062844 0.698602 0.0713403 0.743225 0.877909 0.067044 0.057357 0.912316 0.0715315 0.941295 0.948339 0.0743652 0.0702573 0.936387 0.089619 0.938246 0.911329 0.0859105 0.088291 0.870128 0.0800825 0.861171 0.79798 0.0730203 0.0840613 0.728044 0.0822559 0.689779 0.624297 0.0915702 0.0932086 0.0225623 0.0244998 0.0220923 0.0239894 0.0216222 0.023479 0.0211522 0.0229686 0.0206822 0.0224582 0.0202121 0.0219478 0.313244 0.298906 0.305786 0.314226 0.298328 0.328452 0.419235 0.445573 0.408486 0.458824 0.397736 0.470776 0.46508 0.476539 0.452161 0.463757 0.439242 0.450949 0.429176 0.433454 0.416171 0.41466 0.403165 0.396219 0.366312 0.36308 0.354102 0.341339 0.341891 0.320263 0.288021 0.281018 0.277354 0.261496 0.266686 0.242675
