t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 -7.57478e-14 -8.8861e-14 -9.7703e-14 -1.02343e-13 -1.81615e-13 -8.38422e-14 -7.45057e-14 -6.5271e-14 -1.9115e-13 -1.95806e-13 -1.07237e-13 1.49185e-13 9.79063e-14 9.3253e-14 -1.07218e-13 6.05525e-14 -2.18922e-13 -3.30417e-13 -3.81837e-13 -5.59114e-14 0.992317 0.0573978 0.992839 0.987888 0.0682857 0.0500587 0.992097 0.0639678 0.988199 0.986734 0.0634499 0.0460604 0.98499 0.0552157 0.992138 0.987853 0.0432384 0.0677015 0.983009 0.035542 0.988679 0.987905 0.0672758 0.0632987 0.990834 0.0351192 0.990686 0.987774 0.0355219 0.0618737 0.991894 0.0621784 0.98282 0.992177 0.0434352 0.0538822 0.00219671 0.0015347 0.00215095 0.00150273 0.00210518 0.00147076 0.00205942 0.00143878 0.00201365 0.00140681 0.00196789 0.00137484 0.0607757 0.0608069 0.0593286 0.0592117 0.0578816 0.0576237 0.0564217 0.0562 0.054975 0.0547189 0.0535283 0.0532399 0.0517089 0.0520848 0.0502725 0.050528 0.0488362 0.0489775 0.0473055 0.0475768 0.045872 0.0461171 0.0444385 0.0446585 0.0433474 0.0433409 0.0419025 0.041834 0.0404576 0.0403314 0.0390532 0.0386967 0.0376068 0.0374407 0.0361604 0.036171
0.05 0.396054 0.396543 -0.0862411 -0.0818162 0.034148 0.933284 0.932459 1.25225 1.23182 1.21938 1.18202 1.06037 1.0706 0.992273 0.811696 0.813964 0.720468 0.522607 0.520887 0.416081 0.976138 0.0607745 0.977176 0.966242 0.071018 0.0540068 0.975161 0.0661334 0.966242 0.963746 0.0662422 0.0498019 0.960117 0.058 0.975924 0.965682 0.0468596 0.0698858 0.956311 0.0399516 0.967609 0.966782 0.0691489 0.0645807 0.971967 0.0387448 0.972076 0.965985 0.0389792 0.0628269 0.974674 0.0635725 0.954654 0.975482 0.0475475 0.0569582 0.0132548 0.00982473 0.0129787 0.00962005 0.0127025 0.00941537 0.0124264 0.00921068 0.0121503 0.009006 0.0118741 0.00880132 0.246895 0.247091 0.241017 0.240225 0.235138 0.233407 0.229096 0.227579 0.223222 0.221508 0.217348 0.21545 0.209035 0.211555 0.203229 0.204904 0.197422 0.198298 0.191042 0.192746 0.185253 0.186826 0.179464 0.180912 0.175832 0.175825 0.169971 0.169566 0.16411 0.163335 0.158557 0.156176 0.152684 0.151582 0.146812 0.146896
0.09 1.34931 1.35067 -0.167671 -0.146464 0.25382 3.09936 3.09537 4.09963 4.07911 4.01929 3.91588 3.53487 3.58211 3.3292 2.72734 2.74294 2.43462 1.77313 1.76512 1.40695 0.935404 0.0640875 0.936959 0.918727 0.0737884 0.0580249 0.941239 0.0683075 0.926696 0.927082 0.0691586 0.0536128 0.921681 0.0609259 0.946178 0.928799 0.0503871 0.0720326 0.914607 0.044399 0.93093 0.929946 0.0710145 0.0659687 0.934806 0.0423804 0.935709 0.925113 0.0424729 0.0641013 0.93714 0.0650871 0.903595 0.93772 0.0517535 0.0600178 0.0196976 0.0152527 0.0192872 0.0149349 0.0188768 0.0146171 0.0184665 0.0142994 0.0180561 0.0139816 0.0176457 0.0136639 0.362461 0.362883 0.353831 0.351965 0.345201 0.341158 0.336905 0.333411 0.328266 0.324601 0.319628 0.315804 0.305999 0.311598 0.297499 0.301112 0.288999 0.290731 0.279165 0.282733 0.270705 0.274045 0.262246 0.265364 0.25811 0.258196 0.249507 0.248674 0.240903 0.239215 0.232886 0.227396 0.224261 0.221701 0.215636 0.215795
0.13 2.40526 2.40577 -0.18935 -0.135895 0.563761 5.44021 5.42715 7.16505 7.22917 7.08322 6.93706 6.26857 6.38233 5.92574 4.8195 4.86377 4.31097 3.11848 3.10178 2.45058 0.85611 0.0672224 0.856982 0.841163 0.0764574 0.0619703 0.897089 0.0705008 0.881875 0.894297 0.072103 0.0573341 0.888844 0.0638951 0.914879 0.894071 0.053806 0.0741367 0.876396 0.0487887 0.893417 0.890208 0.0728482 0.0674345 0.887965 0.0459569 0.889797 0.873534 0.0459345 0.0655986 0.880539 0.0665976 0.839336 0.87637 0.055974 0.0630033 0.0227741 0.018335 0.0222996 0.017953 0.0218252 0.017571 0.0213507 0.0171891 0.0208762 0.0168071 0.0204018 0.0164251 0.424471 0.425012 0.414364 0.411554 0.404258 0.39826 0.399484 0.394155 0.389241 0.384602 0.378997 0.37502 0.363039 0.371434 0.352955 0.358157 0.342871 0.345048 0.33018 0.33535 0.320174 0.324931 0.310169 0.314529 0.305352 0.30564 0.295174 0.293815 0.284996 0.282103 0.274771 0.265852 0.264594 0.260221 0.254417 0.254266
0.17 3.24997 3.24603 -0.175037 -0.0812768 0.831059 7.25253 7.22216 9.57686 9.91296 9.67258 9.56106 8.65507 8.84376 8.19379 6.60111 6.68226 5.90072 4.20922 4.18605 3.26477 0.747113 0.0701136 0.744792 0.751386 0.0788638 0.0654965 0.857445 0.072868 0.848569 0.879863 0.0749383 0.060731 0.876691 0.0668364 0.897815 0.878364 0.0572192 0.0762874 0.858448 0.0530363 0.872936 0.864546 0.0747385 0.0690816 0.849884 0.0494255 0.852029 0.828602 0.0493317 0.067284 0.821169 0.0680382 0.781118 0.805019 0.0600469 0.065929 0.0239087 0.0199308 0.0234106 0.0195155 0.0229125 0.0191003 0.0224144 0.0186851 0.0219163 0.0182699 0.0214182 0.0178547 0.443933 0.444065 0.433363 0.431051 0.422793 0.418156 0.432305 0.426563 0.42122 0.418332 0.410135 0.409958 0.396921 0.406597 0.385895 0.391586 0.37487 0.376787 0.35943 0.36538 0.348538 0.353623 0.337646 0.34191 0.329984 0.330489 0.318985 0.31688 0.307985 0.30345 0.294143 0.282747 0.283249 0.276958 0.272355 0.270808
0.21 3.73671 3.72472 -0.141687 -0.0202843 0.970047 8.20316 8.14974 10.9552 11.842 11.5529 11.5916 10.5516 10.789 9.97647 7.97198 8.08314 7.09936 4.96557 4.94053 3.79326 0.641248 0.0727837 0.634279 0.673442 0.0809321 0.0682696 0.828306 0.0755523 0.829531 0.880629 0.0775726 0.0636662 0.882211 0.0697745 0.897385 0.882021 0.0607302 0.0785694 0.861053 0.0571297 0.872456 0.857563 0.0767895 0.0710245 0.830106 0.0527761 0.831721 0.799881 0.0526901 0.0691968 0.774645 0.0693984 0.739436 0.74168 0.0638627 0.0688863 0.0239596 0.0205988 0.0234604 0.0201696 0.0229613 0.0197405 0.0224621 0.0193114 0.0219629 0.0188822 0.0214638 0.0184531 0.433656 0.432614 0.423331 0.423587 0.413006 0.414498 0.447444 0.443216 0.435971 0.437859 0.424498 0.432187 0.419179 0.428621 0.407535 0.412792 0.395892 0.397187 0.377965 0.383923 0.366511 0.370825 0.355058 0.357818 0.342199 0.342809 0.330792 0.327578 0.319386 0.31261 0.299859 0.287384 0.288753 0.280458 0.277647 0.273245
0.25 3.87028 3.84552 -0.0972129 0.0196713 0.957742 8.31628 8.2308 11.3357 13.0253 12.7784 13.0802 12.0289 12.2679 11.3321 9.0158 9.13546 7.97398 5.4526 5.42869 4.09828 0.560486 0.0752763 0.549106 0.615693 0.0827022 0.0702676 0.805551 0.0785836 0.817084 0.886588 0.0799819 0.0661349 0.89522 0.0727898 0.906655 0.896505 0.0643694 0.080998 0.875999 0.0611113 0.884821 0.864151 0.0790624 0.0733117 0.826779 0.0560283 0.827169 0.786559 0.0560635 0.0713945 0.745059 0.0706981 0.71372 0.694358 0.0674328 0.0719688 0.0234386 0.0207009 0.0229503 0.0202697 0.022462 0.0198384 0.0219737 0.0194071 0.0214854 0.0189759 0.0209971 0.0185446 0.407946 0.405172 0.398233 0.402316 0.38852 0.399129 0.452591 0.451397 0.440986 0.449797 0.429381 0.447673 0.435798 0.444251 0.423692 0.428284 0.411587 0.412525 0.392009 0.397513 0.38013 0.382999 0.36825 0.368638 0.348921 0.34945 0.33729 0.332569 0.32566 0.316049 0.298827 0.286241 0.287759 0.277285 0.276691 0.268202
0.29 3.75217 3.70626 -0.0474073 0.0295116 0.826 7.85542 7.7156 11.0002 13.5998 13.5026 14.1451 13.1944 13.3926 12.3739 9.85098 9.94804 8.63098 5.77375 5.74925 4.2694 0.505743 0.0776073 0.490575 0.574133 0.084264 0.0717072 0.783299 0.08191 0.8034 0.890904 0.0821756 0.0681791 0.908281 0.0759571 0.91879 0.914139 0.0681096 0.083536 0.895526 0.0650355 0.902346 0.877736 0.0815778 0.0759329 0.834314 0.0592113 0.832938 0.784064 0.059504 0.073914 0.729409 0.0719676 0.699561 0.662144 0.070836 0.0752332 0.0226465 0.0204701 0.0221747 0.0200437 0.0217029 0.0196172 0.0212311 0.0191907 0.0207593 0.0187643 0.0202875 0.0183378 0.377756 0.373004 0.368762 0.376653 0.359768 0.379692 0.451649 0.454259 0.440069 0.456905 0.428488 0.458799 0.449123 0.456591 0.436648 0.440953 0.424172 0.425485 0.404271 0.409116 0.392021 0.39322 0.37977 0.377543 0.353968 0.354204 0.342169 0.33561 0.33037 0.317484 0.295428 0.283084 0.284486 0.271622 0.273544 0.260236
0.33 3.50487 3.42522 0.002104 0.0151071 0.629839 7.13389 6.90298 10.2742 13.7196 13.8679 14.8871 14.1244 14.2616 13.1977 10.5662 10.606 9.155 6.01539 5.98223 4.37732 0.470044 0.0797694 0.451554 0.542538 0.0857009 0.0728408 0.758503 0.0854475 0.784276 0.890916 0.0841765 0.0698316 0.918161 0.0793202 0.930056 0.93068 0.0719003 0.0861322 0.914855 0.0689487 0.920205 0.893697 0.0843303 0.0788472 0.847856 0.0623538 0.844296 0.788218 0.063052 0.0767675 0.723531 0.0732358 0.693007 0.641372 0.0741597 0.0787061 0.0217556 0.020055 0.0213023 0.0196371 0.0208491 0.0192193 0.0203959 0.0188015 0.0199426 0.0183837 0.0194894 0.0179659 0.349172 0.342391 0.340859 0.351619 0.332545 0.359998 0.446371 0.452793 0.434925 0.460089 0.42348 0.46639 0.459867 0.466804 0.447093 0.451796 0.434319 0.436906 0.415567 0.419705 0.402974 0.402605 0.390381 0.38578 0.359051 0.358787 0.347083 0.338467 0.335114 0.318725 0.291986 0.279805 0.281172 0.265734 0.270358 0.251948
0.37 3.22301 3.094 0.0468849 -0.0120653 0.418534 6.38773 6.02116 9.40412 13.5108 13.9722 15.3739 14.8598 14.9436 13.8664 11.2099 11.1601 9.59706 6.23258 6.17616 4.46379 0.446732 0.0817496 0.425292 0.516627 0.0870719 0.0738651 0.731197 0.0890977 0.758761 0.886145 0.0860235 0.0711193 0.924081 0.0828943 0.939074 0.944479 0.075688 0.0887418 0.931717 0.0728862 0.936126 0.90947 0.0872992 0.0820022 0.864111 0.0654815 0.858107 0.796162 0.0667356 0.0799491 0.724248 0.0745258 0.691411 0.628677 0.0774781 0.0824 0.0208615 0.019549 0.0204269 0.0191417 0.0199923 0.0187345 0.0195577 0.0183272 0.0191231 0.0179199 0.0186884 0.0175127 0.324703 0.315943 0.316972 0.329246 0.309241 0.341534 0.437716 0.447264 0.426492 0.459654 0.415269 0.470787 0.468231 0.475279 0.455225 0.461071 0.442218 0.446921 0.425924 0.429413 0.413017 0.411382 0.400111 0.393665 0.364721 0.363771 0.352563 0.341794 0.340406 0.320495 0.289546 0.277227 0.278822 0.260671 0.268098 0.244599
