t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 -2.92076e-15 -7.29019e-15 -3.73015e-14 -4.19405e-14 -1.07091e-13 1.02551e-13 7.92382e-14 4.19355e-14 -1.35195e-13 -1.25875e-13 -9.32476e-14 2.79674e-14 8.3906e-14 1.72473e-13 2.2369e-13 5.12577e-14 -1.67697e-13 -3.86537e-13 -3.30484e-13 -1.90661e-13 0.990389 0.0404763 0.992426 0.990983 0.0538228 0.0339383 0.987522 0.0401361 0.983339 0.987456 0.0432342 0.0586691 0.982884 0.0540621 0.992494 0.986266 0.0402203 0.0405418 0.992802 0.0473423 0.98352 0.989552 0.0351908 0.0347803 0.987681 0.0612621 0.985627 0.98996 0.0792481 0.0573225 0.992245 0.0715113 0.988324 0.992331 0.0512887 0.0406808 0.00253427 0.00207665 0.00248147 0.00203339 0.00242867 0.00199012 0.00237588 0.00194686 0.00232308 0.00190359 0.00227028 0.00186033 0.0606587 0.0607826 0.0592144 0.0592929 0.0577702 0.0578052 0.0561629 0.0559248 0.0547228 0.0546045 0.0532828 0.0532781 0.0515984 0.0521037 0.0501651 0.0504974 0.0487318 0.0489002 0.0477762 0.0473301 0.0463284 0.0460366 0.0448806 0.0447343 0.0432082 0.0431175 0.041768 0.0417724 0.0403277 0.0404209 0.0390667 0.0389131 0.0376197 0.0375481 0.0361728 0.0361772
0.05 0.396121 0.396764 -0.0824561 -0.0824647 0.0349112 0.931224 0.936539 1.25134 1.22487 1.20879 1.17469 1.05067 1.07398 0.993491 0.827216 0.809969 0.718966 0.517191 0.523228 0.419275 0.970636 0.0432888 0.976304 0.971545 0.0558507 0.0370953 0.965432 0.0436239 0.956067 0.96452 0.0460511 0.060224 0.956871 0.0556736 0.976763 0.964149 0.0435586 0.0433729 0.976215 0.0495871 0.956317 0.968676 0.038282 0.038328 0.96656 0.0647622 0.960883 0.970617 0.0804599 0.0608835 0.975624 0.0726563 0.966955 0.976265 0.0549602 0.0443778 0.0152621 0.012902 0.0149441 0.0126332 0.0146262 0.0123644 0.0143082 0.0120956 0.0139903 0.0118268 0.0136723 0.0115581 0.245969 0.246932 0.240112 0.240676 0.234256 0.234439 0.227405 0.225797 0.221574 0.220728 0.215743 0.215621 0.208444 0.211686 0.202654 0.204801 0.196864 0.197973 0.194032 0.191099 0.188152 0.186207 0.182273 0.18126 0.17504 0.174337 0.169205 0.169147 0.16337 0.163915 0.15866 0.157632 0.152784 0.15232 0.146908 0.146966
0.09 1.3469 1.34877 -0.1498 -0.154074 0.249949 3.08246 3.10904 4.09432 4.04354 3.97377 3.88497 3.49477 3.59828 3.33601 2.79699 2.72211 2.42202 1.75144 1.77319 1.42341 0.922862 0.0461755 0.935363 0.925399 0.0578751 0.0402832 0.925887 0.047012 0.911162 0.927222 0.0489741 0.0619141 0.918058 0.0575446 0.947513 0.9287 0.0467443 0.0461717 0.943431 0.0518395 0.913464 0.930508 0.0415471 0.0419624 0.928289 0.0680842 0.917354 0.932478 0.0819452 0.0643828 0.939095 0.0740019 0.924478 0.940119 0.0586892 0.0480986 0.0226373 0.019562 0.0221657 0.0191545 0.021694 0.0187469 0.0212224 0.0183394 0.0207508 0.0179318 0.0202792 0.0175243 0.359775 0.362502 0.351209 0.352782 0.342643 0.343114 0.333149 0.329533 0.324607 0.322807 0.316065 0.31599 0.304966 0.311899 0.296495 0.301092 0.288024 0.290407 0.285466 0.27908 0.276815 0.272486 0.268165 0.265775 0.256636 0.254803 0.248082 0.247703 0.239527 0.240507 0.233169 0.230788 0.224533 0.223473 0.215897 0.216063
0.13 2.39182 2.39471 -0.143337 -0.166082 0.537397 5.37664 5.45075 7.15033 7.13806 6.97786 6.86573 6.1823 6.4218 5.94463 4.97956 4.80833 4.26922 3.07435 3.11552 2.49207 0.835648 0.0490594 0.854524 0.846059 0.0597399 0.0433729 0.879333 0.0503032 0.864977 0.893447 0.0519219 0.0635748 0.885598 0.0595595 0.916028 0.895622 0.0497818 0.0489297 0.905222 0.0540769 0.874762 0.888511 0.0449042 0.0456356 0.883303 0.0711393 0.868101 0.881805 0.0836028 0.0677953 0.883298 0.0754075 0.865133 0.881265 0.0623899 0.0517745 0.026095 0.0230093 0.0255513 0.02253 0.0250077 0.0220506 0.0244641 0.0215713 0.0239204 0.0210919 0.0233768 0.0206125 0.418933 0.42431 0.408959 0.412466 0.398984 0.400706 0.393652 0.38833 0.383558 0.381777 0.373464 0.375045 0.36175 0.371865 0.351702 0.358351 0.341653 0.345019 0.339205 0.329865 0.328926 0.322338 0.318647 0.314656 0.303551 0.300254 0.293432 0.292244 0.283314 0.284096 0.275298 0.271403 0.265102 0.263248 0.254905 0.254946
0.17 3.21545 3.21746 -0.085647 -0.152023 0.76079 7.10432 7.2508 9.54733 9.74858 9.49726 9.44223 8.52091 8.90903 8.22656 6.86022 6.57812 5.81217 4.14736 4.20129 3.33782 0.724775 0.051835 0.74144 0.751794 0.0613473 0.0461573 0.840548 0.0536078 0.834143 0.878285 0.0547854 0.0650225 0.873581 0.0616278 0.897877 0.880191 0.0527874 0.0517123 0.880039 0.0563744 0.857839 0.861581 0.0482387 0.0493119 0.849121 0.0738856 0.831762 0.835223 0.0853619 0.0711972 0.823816 0.0767578 0.805635 0.812205 0.0659465 0.0553894 0.0272839 0.0245104 0.0267155 0.0239998 0.0261471 0.0234892 0.0255787 0.0229785 0.0250102 0.0224679 0.0244418 0.0219573 0.435601 0.442968 0.42523 0.43155 0.414858 0.420174 0.425092 0.419724 0.414192 0.414879 0.403292 0.409722 0.395514 0.406968 0.384527 0.391921 0.373541 0.377088 0.369382 0.359049 0.358189 0.350387 0.346995 0.341585 0.328473 0.323788 0.317524 0.314852 0.306575 0.305789 0.294861 0.289821 0.28394 0.281018 0.27302 0.272066
0.21 3.67866 3.67457 -0.00409295 -0.139179 0.845909 7.96038 8.17562 10.9083 11.6029 11.3215 11.435 10.3792 10.8706 10.0157 8.30607 7.92748 6.95737 4.90079 4.95035 3.89416 0.624088 0.0544116 0.629817 0.669364 0.0627615 0.0484937 0.812933 0.0570472 0.818623 0.87863 0.0574869 0.0661689 0.878694 0.0637582 0.896009 0.88294 0.0558667 0.0545849 0.87423 0.0588185 0.86222 0.854727 0.0515115 0.0530035 0.833195 0.0763579 0.814764 0.803448 0.0872256 0.0747145 0.776468 0.0779965 0.759126 0.750153 0.0693098 0.0590025 0.0272055 0.0248592 0.0266387 0.0243413 0.0260719 0.0238234 0.0255051 0.0233055 0.0249384 0.0227876 0.0243716 0.0222697 0.424135 0.431044 0.414036 0.423232 0.403938 0.415301 0.439612 0.436365 0.42834 0.434264 0.417068 0.431684 0.417653 0.428705 0.406052 0.413049 0.39445 0.397607 0.387138 0.377807 0.375407 0.367514 0.363675 0.357149 0.341479 0.335681 0.330097 0.325266 0.318714 0.314798 0.300617 0.294932 0.289483 0.285051 0.278349 0.275089
0.25 3.79672 3.77693 0.0767334 -0.13763 0.791023 8.01064 8.24705 11.2728 12.721 12.5211 12.9067 11.831 12.3493 11.3642 9.38495 8.93707 7.78522 5.40282 5.42482 4.21415 0.550446 0.0567591 0.543338 0.608405 0.064105 0.0504153 0.790988 0.0606697 0.809062 0.884273 0.0599971 0.0670234 0.891046 0.0660214 0.904106 0.89627 0.0590488 0.0575605 0.88269 0.0614487 0.87859 0.86209 0.0547622 0.0567512 0.832538 0.0786373 0.813243 0.78693 0.0892405 0.078441 0.74602 0.0791253 0.728026 0.703187 0.072526 0.0626951 0.0264608 0.0245502 0.0259095 0.0240387 0.0253583 0.0235273 0.024807 0.0230158 0.0242557 0.0225043 0.0237045 0.0219929 0.39908 0.403025 0.389579 0.400894 0.380077 0.398398 0.444565 0.445158 0.433166 0.446378 0.421767 0.446933 0.434086 0.443914 0.422028 0.428277 0.40997 0.41283 0.399472 0.392263 0.387367 0.38004 0.375262 0.367837 0.34919 0.342525 0.33755 0.33007 0.325911 0.317686 0.299491 0.293376 0.288399 0.281921 0.277306 0.270512
0.29 3.67565 3.62671 0.140716 -0.144925 0.643144 7.53892 7.71694 10.9228 13.243 13.25 13.9757 12.9818 13.4573 12.386 10.2175 9.72229 8.41021 5.75337 5.72364 4.38338 0.501524 0.0588957 0.483637 0.56493 0.0654523 0.0520555 0.768968 0.0644551 0.797285 0.888224 0.0623169 0.0676222 0.903442 0.0684877 0.915577 0.913078 0.0623072 0.0606087 0.898058 0.0642665 0.898755 0.876425 0.0580548 0.0605911 0.841372 0.0808116 0.821225 0.781758 0.0914504 0.0824163 0.7299 0.0801755 0.709177 0.67069 0.0756836 0.0665298 0.0254047 0.0238889 0.0248754 0.0233912 0.0243462 0.0228935 0.0238169 0.0223958 0.0232876 0.0218981 0.0227584 0.0214004 0.370665 0.370217 0.36184 0.374162 0.353014 0.377484 0.443573 0.448859 0.432199 0.453782 0.420826 0.45784 0.447168 0.455824 0.434747 0.440615 0.422325 0.425551 0.409797 0.404947 0.397379 0.390804 0.384961 0.376779 0.35515 0.347787 0.343311 0.332959 0.331473 0.318354 0.295946 0.289274 0.284985 0.275958 0.274024 0.262841
0.33 3.43607 3.34187 0.182012 -0.153898 0.458635 6.85314 6.88409 10.1808 13.3218 13.6413 14.7367 13.9042 14.2992 13.1823 10.9034 10.3691 8.91838 6.03219 5.92874 4.47382 0.469698 0.0608521 0.443889 0.532557 0.0668299 0.0535493 0.744447 0.0683453 0.779227 0.887729 0.0644663 0.0679935 0.912695 0.0711992 0.926631 0.929224 0.0655942 0.0636855 0.915007 0.0672595 0.918122 0.892854 0.0614402 0.0645399 0.855083 0.0829562 0.834152 0.783973 0.0938798 0.0866407 0.724032 0.0811827 0.698801 0.649157 0.0788689 0.0705484 0.0242414 0.0230612 0.0237364 0.0225808 0.0232314 0.0221003 0.0227263 0.0216199 0.0222213 0.0211394 0.0217163 0.020659 0.344201 0.338997 0.336006 0.348214 0.327811 0.356589 0.438302 0.448207 0.427064 0.457246 0.415825 0.465204 0.457638 0.465692 0.444926 0.451162 0.432213 0.436723 0.419335 0.416555 0.406628 0.400742 0.393921 0.385128 0.360913 0.35297 0.348882 0.335687 0.336852 0.318784 0.292388 0.284819 0.281559 0.269564 0.27073 0.254672
0.37 3.16811 3.01152 0.202125 -0.158521 0.278649 6.17149 5.97689 9.29114 13.0834 13.7823 15.2497 14.635 14.9508 13.8229 11.5031 10.9253 9.35782 6.28769 6.09178 4.53161 0.448588 0.0626566 0.417481 0.50685 0.0682387 0.0549962 0.717959 0.0722579 0.754113 0.882241 0.0664876 0.0681666 0.91797 0.0741702 0.935718 0.942946 0.0688604 0.0667499 0.930631 0.0704156 0.934817 0.90882 0.0649462 0.0685952 0.87075 0.08513 0.849159 0.790698 0.0965358 0.0910932 0.725138 0.0821768 0.6941 0.63531 0.0821503 0.0747806 0.0230843 0.0221782 0.0226034 0.0217162 0.0221225 0.0212541 0.0216416 0.0207921 0.0211606 0.02033 0.0206797 0.019868 0.3217 0.312076 0.314041 0.325196 0.306381 0.337313 0.429772 0.443332 0.418752 0.456992 0.407732 0.469334 0.465707 0.473938 0.452771 0.460226 0.439834 0.446545 0.428277 0.427096 0.415298 0.409984 0.40232 0.393132 0.366974 0.358546 0.354742 0.338916 0.342509 0.319817 0.289907 0.281019 0.27917 0.263886 0.268433 0.247271
